:START_ID,:END_ID,:TYPE,deal_date,deal_amount,investor_status,is_lead,notes
cacheDNA_startup_001,cacheDNA_deal_007,HAS_DEAL,2023-06-14,$6.50M,,,Seed Round; Post-Val $21.50M
cacheDNA_startup_001,cacheDNA_deal_003,HAS_DEAL,2022-03-01,$0.70M,,,Early Stage VC; Post-Val $6.70M
cacheDNA_inv_002,cacheDNA_deal_007,INVESTED_IN,2023-06-14,$6.50M,New Investor,false,Seed Round; Lead Partner: Alec Nielsen Ph.D
cacheDNA_inv_003,cacheDNA_deal_007,INVESTED_IN,2023-06-14,$6.50M,Follow-On Investor,false,Seed Round
cacheDNA_inv_004,cacheDNA_deal_007,INVESTED_IN,2023-06-14,$6.50M,New Investor,false,Seed Round
inv_017,cacheDNA_deal_007,INVESTED_IN,2023-06-14,$6.50M,New Investor,false,Seed Round
cacheDNA_inv_005,cacheDNA_deal_007,INVESTED_IN,2023-06-14,$6.50M,New Investor,false,Seed Round
cacheDNA_inv_006,cacheDNA_deal_007,INVESTED_IN,2023-06-14,$6.50M,New Investor,false,Seed Round
cacheDNA_inv_007,cacheDNA_deal_007,INVESTED_IN,2023-06-14,$6.50M,New Investor,false,Seed Round
cacheDNA_inv_008,cacheDNA_deal_007,INVESTED_IN,2023-06-14,$6.50M,New Investor,false,Seed Round
cacheDNA_inv_009,cacheDNA_deal_007,INVESTED_IN,2023-06-14,$6.50M,Follow-On Investor,false,Seed Round; Lead Partner: Tony Kulesa Ph.D
cacheDNA_inv_010,cacheDNA_deal_007,INVESTED_IN,2023-06-14,$6.50M,Follow-On Investor,false,Seed Round
cacheDNA_inv_011,cacheDNA_deal_007,INVESTED_IN,2023-06-14,$6.50M,New Investor,false,Seed Round
cacheDNA_inv_012,cacheDNA_deal_007,INVESTED_IN,2023-06-14,$6.50M,New Investor,false,Seed Round
cacheDNA_inv_014,cacheDNA_deal_007,INVESTED_IN,2023-06-14,$6.50M,Follow-On Investor,false,Seed Round
cacheDNA_inv_003,cacheDNA_deal_003,INVESTED_IN,2022-03-01,$0.70M,New Investor,false,Early Stage VC
cacheDNA_inv_016,cacheDNA_deal_003,INVESTED_IN,2022-03-01,$0.70M,New Investor,false,Early Stage VC
cacheDNA_inv_017,cacheDNA_deal_003,INVESTED_IN,2022-03-01,$0.70M,New Investor,false,Early Stage VC
cacheDNA_inv_009,cacheDNA_deal_003,INVESTED_IN,2022-03-01,$0.70M,New Investor,false,Early Stage VC
cacheDNA_inv_010,cacheDNA_deal_003,INVESTED_IN,2022-03-01,$0.70M,New Investor,false,Early Stage VC; Fund: Taihill Fund II
cacheDNA_startup_001,cacheDNA_inv_001,ACCELERATED_BY,2023-12-06,,,,MIT Startup Exchange Dec 2023
cacheDNA_startup_001,cacheDNA_inv_013,ACCELERATED_BY,2022-12-17,,,,Nucleate Dec 2022
cacheDNA_startup_001,cacheDNA_inv_014,ACCELERATED_BY,2022-03-16,,,,Illumina Accelerator Mar 2022; Lead Partner: Amanda Cashin Ph.D
cacheDNA_startup_001,cacheDNA_inv_018,ACCELERATED_BY,,,,,California Life Sciences FAST Advisory Program
cacheDNA_startup_001,cacheDNA_inv_015,INVESTED_IN,2022-02-09,$0.26M,New Investor,false,NSF Grant Feb 2022; $255819 for nucleic acid storage R&D
cacheDNA_startup_001,cacheDNA_inv_015,INVESTED_IN,2022-03-14,$0.26M,Follow-On Investor,false,NSF Grant Mar 2022; $256000
